name,value,description,status
# Frontend Route Permissions
ADMIN_ACCESS,ADMIN_ACCESS,Full administrative access,ACTIVE
canViewClientProfile,VIEW_CLIENT_PROFILE,View client profile information,ACTIVE
canViewAdminActions,VIEW_ADMIN_ACTIONS,View administrative actions,ACTIVE
canViewClients,VIEW_CLIENTS,View clients list and information,ACTIVE
canViewUsers,VIEW_USERS,View users list and management,ACTIVE
canViewBps,VIEW_BPS,View BPS (Business Process Services),ACTIVE
VIEW_CUSTOM_LOAN_BOOK_UPLOAD,LOAN_BOOK_UPLOAD,Access loan book upload functionality,ACTIVE
canViewReports,VIEW_REPORTS,View system reports,ACTIVE
canViewProducts,VIEW_PRODUCTS,View loan and savings products,ACTIVE
canViewCommunication,VIEW_COMMUNICATION,View communication module,ACTIVE
# User Management Permissions
USER_CREATE,CREATE_USER,Create new users,ACTIVE
USER_READ,READ_USER,View user information,ACTIVE
USER_UPDATE,UPDATE_USER,Update user information,ACTIVE
USER_DELETE,DELETE_USER,Delete users,ACTIVE
USER_TOGGLE,TOGGLE_USER,Enable/disable user accounts,ACTIVE
# Customer Management Permissions
CUSTOMER_CREATE,CREATE_CUSTOMER,Create new customers,ACTIVE
CUSTOMER_READ,READ_CUSTOMER,View customer information,ACTIVE
CUSTOMER_UPDATE,UPDATE_CUSTOMER,Update customer information,ACTIVE
CUSTOMER_DELETE,DELETE_CUSTOMER,Delete customers,ACTIVE
CUSTOMER_STATUS_CHANGE,CHANGE_CUSTOMER_STATUS,Change customer account status,ACTIVE
CUSTOMER_ENABLE_LOGIN,ENABLE_CUSTOMER_LOGIN,Enable customer login access,ACTIVE
CUSTOMER_SCORE,VIEW_CUSTOMER_SCORE,View customer credit score,ACTIVE
# Loan Management Permissions
LOAN_CREATE,CREATE_LOAN,Create loan applications,ACTIVE
LOAN_READ,READ_LOAN,View loan information,ACTIVE
LOAN_UPDATE,UPDATE_LOAN,Update loan information,ACTIVE
LOAN_DELETE,DELETE_LOAN,Delete loan records,ACTIVE
LOAN_APPROVE,APPROVE_LOAN,Approve loan applications,ACTIVE
LOAN_DISBURSE,DISBURSE_LOAN,Disburse approved loans,ACTIVE
LOAN_REPAYMENT,PROCESS_LOAN_REPAYMENT,Process loan repayments,ACTIVE
LOAN_CUSTOM_PAYMENT,CUSTOM_LOAN_PAYMENT,Process custom loan payments,ACTIVE
LOAN_ACCOUNT_VIEW,VIEW_LOAN_ACCOUNTS,View loan account details,ACTIVE
LOAN_BOOK_UPLOAD,UPLOAD_LOAN_BOOK,Upload loan book data,ACTIVE
# Product Management Permissions
PRODUCT_CREATE,CREATE_PRODUCT,Create loan and savings products,ACTIVE
PRODUCT_READ,READ_PRODUCT,View product information,ACTIVE
PRODUCT_UPDATE,UPDATE_PRODUCT,Update product information,ACTIVE
PRODUCT_DELETE,DELETE_PRODUCT,Delete products,ACTIVE
PRODUCT_TOGGLE_STATUS,TOGGLE_PRODUCT_STATUS,Enable/disable products,ACTIVE
# Savings Management Permissions
SAVINGS_ACCOUNT_CREATE,CREATE_SAVINGS_ACCOUNT,Create savings accounts,ACTIVE
SAVINGS_ACCOUNT_READ,READ_SAVINGS_ACCOUNT,View savings account information,ACTIVE
SAVINGS_ACCOUNT_UPDATE,UPDATE_SAVINGS_ACCOUNT,Update savings account information,ACTIVE
SAVINGS_ACCOUNT_STATUS,UPDATE_SAVINGS_STATUS,Update savings account status,ACTIVE
SAVINGS_DEPOSIT,PROCESS_SAVINGS_DEPOSIT,Process savings deposits,ACTIVE
SAVINGS_WITHDRAWAL,PROCESS_SAVINGS_WITHDRAWAL,Process savings withdrawals,ACTIVE
SAVINGS_PRODUCT_CREATE,CREATE_SAVINGS_PRODUCT,Create savings products,ACTIVE
SAVINGS_PRODUCT_UPDATE,UPDATE_SAVINGS_PRODUCT,Update savings products,ACTIVE
SAVINGS_STATISTICS,VIEW_SAVINGS_STATISTICS,View savings statistics,ACTIVE
# Transaction Management Permissions
TRANSACTION_CREATE,CREATE_TRANSACTION,Process transactions,ACTIVE
TRANSACTION_READ,READ_TRANSACTION,View transaction history,ACTIVE
TRANSACTION_UPDATE,UPDATE_TRANSACTION,Update transaction information,ACTIVE
TRANSACTION_REVERSE,REVERSE_TRANSACTION,Reverse transactions,ACTIVE
TRANSACTION_APPROVE,APPROVE_TRANSACTION,Approve transactions,ACTIVE
# Subscription & Charges Management
SUBSCRIPTION_CREATE,CREATE_SUBSCRIPTION,Create customer subscriptions,ACTIVE
SUBSCRIPTION_READ,READ_SUBSCRIPTION,View subscription information,ACTIVE
SUBSCRIPTION_UPDATE,UPDATE_SUBSCRIPTION,Update subscriptions,ACTIVE
SUBSCRIPTION_DELETE,DELETE_SUBSCRIPTION,Delete subscriptions,ACTIVE
CHARGE_CREATE,CREATE_CHARGE,Create product charges,ACTIVE
CHARGE_READ,READ_CHARGE,View charge information,ACTIVE
CHARGE_UPDATE,UPDATE_CHARGE,Update charges,ACTIVE
CHARGE_DELETE,DELETE_CHARGE,Delete charges,ACTIVE
# Communication Permissions
SMS_SEND,SEND_SMS,Send SMS messages,ACTIVE
WHATSAPP_SEND,SEND_WHATSAPP,Send WhatsApp messages,ACTIVE
BULK_SMS_SEND,SEND_BULK_SMS,Send bulk SMS messages,ACTIVE
COMMUNICATION_VIEW,VIEW_COMMUNICATION,View communication history,ACTIVE
# Reporting Permissions
REPORT_VIEW,VIEW_REPORTS,View system reports,ACTIVE
REPORT_GENERATE,GENERATE_REPORTS,Generate reports,ACTIVE
REPORT_EXPORT,EXPORT_REPORTS,Export reports,ACTIVE
DASHBOARD_VIEW,VIEW_DASHBOARD,View dashboard data,ACTIVE
STATISTICS_VIEW,VIEW_STATISTICS,View system statistics,ACTIVE
# System Administration
SYSTEM_CONFIG,CONFIGURE_SYSTEM,Configure system settings,ACTIVE
ROLE_MANAGE,MANAGE_ROLES,Manage user roles and permissions,ACTIVE
PERMISSION_MANAGE,MANAGE_PERMISSIONS,Manage system permissions,ACTIVE
AUDIT_VIEW,VIEW_AUDIT_LOGS,View system audit logs,ACTIVE
BACKUP_MANAGE,MANAGE_BACKUPS,Manage system backups,ACTIVE
# Payment & Banking
MPESA_PAYMENT,PROCESS_MPESA_PAYMENT,Process M-Pesa payments,ACTIVE
BANK_TRANSFER,PROCESS_BANK_TRANSFER,Process bank transfers,ACTIVE
PAYMENT_GATEWAY,MANAGE_PAYMENT_GATEWAY,Manage payment gateway settings,ACTIVE
SUSPENSE_PAYMENT,VIEW_SUSPENSE_PAYMENTS,View suspense payments,ACTIVE
# Security Permissions
SECURITY_MANAGE,MANAGE_SECURITY,Manage security settings,ACTIVE
PASSWORD_RESET,RESET_PASSWORDS,Reset user passwords,ACTIVE
SESSION_MANAGE,MANAGE_SESSIONS,Manage user sessions,ACTIVE
ACCESS_CONTROL,MANAGE_ACCESS_CONTROL,Manage access control settings,ACTIVE
# Profile & Settings
DASHBOARD_ACCESS,ACCESS_DASHBOARD,Access main dashboard,ACTIVE
PROFILE_VIEW,VIEW_PROFILE,View user profile,ACTIVE
PROFILE_UPDATE,UPDATE_PROFILE,Update user profile,ACTIVE
SETTINGS_VIEW,VIEW_SETTINGS,View system settings,ACTIVE
SETTINGS_UPDATE,UPDATE_SETTINGS,Update system settings,ACTIVE
# Bulk Operations
BULK_OPERATIONS,PERFORM_BULK_OPERATIONS,Perform bulk operations,ACTIVE
DATA_EXPORT,EXPORT_DATA,Export system data,ACTIVE
DATA_IMPORT,IMPORT_DATA,Import system data,ACTIVE
SYSTEM_MAINTENANCE,PERFORM_MAINTENANCE,Perform system maintenance,ACTIVE
# SACCO-specific Permissions
MEMBER_REGISTRATION,REGISTER_MEMBER,Register new SACCO members,ACTIVE
DIVIDEND_CALCULATION,CALCULATE_DIVIDEND,Calculate member dividends,ACTIVE
DIVIDEND_DISTRIBUTION,DISTRIBUTE_DIVIDEND,Distribute dividends to members,ACTIVE
SHARE_MANAGEMENT,MANAGE_SHARES,Manage member shares,ACTIVE
INTEREST_CALCULATION,CALCULATE_INTEREST,Calculate loan and savings interest,ACTIVE
PENALTY_MANAGEMENT,MANAGE_PENALTIES,Manage loan penalties and fees,ACTIVE
COLLATERAL_MANAGEMENT,MANAGE_COLLATERAL,Manage loan collateral,ACTIVE
GUARANTOR_MANAGEMENT,MANAGE_GUARANTORS,Manage loan guarantors,ACTIVE
FINANCIAL_STATEMENTS,VIEW_FINANCIAL_STATEMENTS,View financial statements,ACTIVE
BUDGET_MANAGEMENT,MANAGE_BUDGET,Manage SACCO budget,ACTIVE
REGULATORY_REPORTING,REGULATORY_REPORTS,Generate regulatory reports,ACTIVE
COMPLIANCE_MANAGEMENT,MANAGE_COMPLIANCE,Manage regulatory compliance,ACTIVE
RISK_ASSESSMENT,ASSESS_RISK,Perform risk assessments,ACTIVE
CREDIT_SCORING,CREDIT_SCORING,Perform credit scoring,ACTIVE
LOAN_RESTRUCTURING,RESTRUCTURE_LOAN,Restructure existing loans,ACTIVE
KYC_MANAGEMENT,MANAGE_KYC,Manage Know Your Customer processes,ACTIVE
BRANCH_MANAGEMENT,MANAGE_BRANCHES,Manage SACCO branches,ACTIVE
AGENT_MANAGEMENT,MANAGE_AGENTS,Manage SACCO agents,ACTIVE
CASH_MANAGEMENT,MANAGE_CASH,Manage cash transactions,ACTIVE
TILL_MANAGEMENT,MANAGE_TILL,Manage teller till,ACTIVE
BANK_RECONCILIATION,RECONCILE_BANK,Perform bank reconciliation,ACTIVE
EOD_PROCESSING,EOD_PROCESSING,End of day processing,ACTIVE
MONTH_END_PROCESSING,MONTH_END_PROCESSING,Month end processing,ACTIVE
